Net_Name,Net_Pins
DDR4_A2,R152.1 U1.AR38 U9.M3 U10.M3 U11.M3 U12.M3 U13.M3 U34.M3 U35.M3 U36.M3 U37.M3
DDR4_A3,R173.1 U1.AV32 U9.K7 U10.K7 U11.K7 U12.K7 U13.K7 U34.K7 U35.K7 U36.K7 U37.K7
DDR4_A4,R182.1 U1.AU36 U9.K3 U10.K3 U11.K3 U12.K3 U13.K3 U34.K3 U35.K3 U36.K3 U37.K3
DDR4_A5,R172.1 U1.AR35 U9.L8 U10.L8 U11.L8 U12.L8 U13.L8 U34.L8 U35.L8 U36.L8 U37.L8
DDR4_A6,R151.1 U1.AV33 U9.L2 U10.L2 U11.L2 U12.L2 U13.L2 U34.L2 U35.L2 U36.L2 U37.L2
DDR4_A7,R159.1 U1.AR37 U9.M8 U10.M8 U11.M8 U12.M8 U13.M8 U34.M8 U35.M8 U36.M8 U37.M8
DDR4_A8,R153.1 U1.AV34 U9.M2 U10.M2 U11.M2 U12.M2 U13.M2 U34.M2 U35.M2 U36.M2 U37.M2
DDR4_A9,R158.1 U1.AV35 U9.M7 U10.M7 U11.M7 U12.M7 U13.M7 U34.M7 U35.M7 U36.M7 U37.M7
DDR4_A10,R181.1 U1.AR33 U9.J3 U10.J3 U11.J3 U12.J3 U13.J3 U34.J3 U35.J3 U36.J3 U37.J3
DDR4_A11,R155.1 U1.AR34 U9.N2 U10.N2 U11.N2 U12.N2 U13.N2 U34.N2 U35.N2 U36.N2 U37.N2
DDR4_A12,R184.1 U1.AV31 U9.J7 U10.J7 U11.J7 U12.J7 U13.J7 U34.J7 U35.J7 U36.J7 U37.J7
DDR4_A13,R156.1 U1.AP38 U9.N8 U10.N8 U11.N8 U12.N8 U13.N8 U34.N8 U35.N8 U36.N8 U37.N8
DDR4_A14,R199.1 U1.AU30 U9.H2 U10.H2 U11.H2 U12.H2 U13.H2 U34.H2 U35.H2 U36.H2 U37.H2
DDR4_A15,R185.1 U1.AV30 U9.H7 U10.H7 U11.H7 U12.H7 U13.H7 U34.H7 U35.H7 U36.H7 U37.H7
DDR4_A16,R220.1 U1.AR31 U9.H8 U10.H8 U11.H8 U12.H8 U13.H8 U34.H8 U35.H8 U36.H8 U37.H8
