column_one,column_two
VCORE,C423.1
GND,C423.2
VCORE,C424.1
GND,C424.2
VCORE,C425.1
GND,C425.2
VCORE,C426.1
GND,C426.2
VCORE,C427.1
GND,C427.2
VCORE,C428.1
GND,C428.2
VCORE,C429.1
GND,C429.2
3.3V_RCLK_LVDS_OCS,C43.1
GND,C43.2
VCORE,C430.1
GND,C430.2
VCORE,C431.1
GND,C431.2
VDDCPA2,C432.1
VSSCPA2,C432.2
VDDCPA2,C433.1
VSSCPA2,C433.2
12V,C434.1
GND,C434.2
12V,C435.1
GND,C435.2
3V_DIF_RTC,C436.1
GND,C436.2
12V,C438.1
GND,C438.2
12V,C439.1
GND,C439.2
1.2V_DDR,C44.1
GND,C44.2
12V,C440.1
GND,C440.2
VCORE,C441.1
GND,C441.2
VCORE,C442.1
GND,C442.2
VCORE,C443.1
GND,C443.2
VCORE,C444.1
GND,C444.2
VCORE,C445.1
GND,C445.2
VCORE,C446.1
GND,C446.2
VCORE,C447.1
GND,C447.2
VCORE,C448.1
GND,C448.2
VCORE,C449.1
GND,C449.2
1.2V_DDR,C45.1
GND,C45.2
VCORE,C450.1
GND,C450.2
VCORE,C451.1
GND,C451.2
VCORE,C452.1
GND,C452.2
VCORE,C453.1
GND,C453.2
VCORE,C454.1
GND,C454.2
VCORE,C455.1
GND,C455.2
VCORE,C456.1
GND,C456.2
VCORE,C457.1
GND,C457.2
VCORE,C458.1
GND,C458.2
VCORE,C459.1
GND,C459.2
1.2V_DDR,C46.1
GND,C46.2
VCORE,C460.1
GND,C460.2
VCORE,C461.1
GND,C461.2
VCORE,C462.1
GND,C462.2
VCORE,C463.1
GND,C463.2
VCORE,C464.1
GND,C464.2
VCORE,C465.1
GND,C465.2
VCORE,C466.1
GND,C466.2
VCORE,C467.1
GND,C467.2
VCORE,C468.1
GND,C468.2
VCORE,C469.1
GND,C469.2
1.2V_DDR,C47.1
GND,C47.2
VCORE,C470.1
GND,C470.2
3.3V,C471.1
GND,C471.2
3.3V,C472.1
GND,C472.2
VDDCPA2,C473.1
VSSCPA2,C473.2
S_3.3V_SS_P0,C474.1
GND_ANALOG_3.3V_P0,C474.2
3.3V,C475.1
GND,C475.2
S_RJ45_TRCT4,C476.1
GND,C476.2
S_RJ45_TRCT3,C477.1
GND,C477.2
3.3V_VDD_RTC,C478.1
GND,C478.2
1.2V,C479.1
GND,C479.2
1.2V_DDR,C48.1
GND,C48.2
3.3V,C480.1
GND,C480.2
L_1.2V_SW_SS,C481.1
GND,C481.2
12V,C482.1
GND,C482.2
VCORE,C483.1
GND,C483.2
1.8V_VDD18,C484.1
GND,C484.2
1.8V,C485.1
GND,C485.2
1.8V_VDD18,C486.1
GND,C486.2
VDDCPA,C487.1
VSSCPA,C487.2
1.8V_VDD18,C488.1
GND,C488.2
VCORE,C489.1
GND,C489.2
1.2V_DDR,C49.1
GND,C49.2
VCORE,C490.1
GND,C490.2
VCORE,C491.1
GND,C491.2
VCORE,C492.1
GND,C492.2
VCORE,C493.1
GND,C493.2
VCORE,C494.1
GND,C494.2
1.8V,C495.1
GND,C495.2
VCORE,C496.1
GND,C496.2
VCORE,C497.1
GND,C497.2
1.8V,C498.1
GND,C498.2
1.8V,C499.1
GND,C499.2
1.2V_DDR,C5.1
GND,C5.2
1.2V_DDR,C50.1
GND,C50.2
VCORE,C500.1
GND,C500.2
1.8V,C501.1
GND,C501.2
1.8V_VDDPLLPX,C502.1
GND_VSSPLLPX,C502.2
1.8V_VDDPLLPX,C503.1
GND_VSSPLLPX,C503.2
VCORE,C504.1
GND,C504.2
VCORE,C505.1
GND,C505.2
VCORE,C506.1
GND,C506.2
VCORE,C507.1
GND,C507.2
VCORE,C508.1
GND,C508.2
VCORE,C509.1
GND,C509.2
1.2V_DDR,C51.1
GND,C51.2
1.8V,C510.1
GND,C510.2
1.8V,C511.1
GND,C511.2
1.8V_VDDPLLPL,C512.1
GND_VSSPLLPL,C512.2
1.8V_VDDPLLPL,C513.1
GND_VSSPLLPL,C513.2
VCORE,C514.1
GND,C514.2
VCORE,C515.1
GND,C515.2
VCORE,C516.1
GND,C516.2
3.3V,C517.1
