column_one,column_two
*SIG $$$15406,U7.8.S
*SIG $$$15406,C67.1.U
*SIG $$$15406,R122.1.U
*SIG $$$15407,C68.2.U
*SIG $$$15407,R120.2.U
*SIG $$$15407,U7.6.S
*SIG $$$15407,R116.2.U
*SIG $$$15408,R121.2.U
*SIG $$$15408,U7.7.S
*SIG $$$15408,R118.2.U
*SIG $$$15409,Q17.B.U
*SIG $$$15409,R118.1.U
*SIG $$$15409,D19.K.U
*SIG $$$15409,R119.2.U
*SIG $$$15410,R120.1.U
*SIG $$$15410,R121.1.U
*SIG $$$15410,D20.A.U
*SIG $$$15411,Q17.C.U
*SIG $$$15411,J12.2.U
*SIG $$$15411,D20.K.U
*SIG $$$15412,U8.2.L
*SIG $$$15412,R123.2.U
*SIG $$$15413,R124.2.U
*SIG $$$15413,U8.3.L
*SIG $$$15414,U8.8.S
*SIG $$$15414,C72.1.U
*SIG $$$15414,R131.1.U
*SIG $$$15415,R125.2.U
*SIG $$$15415,R129.2.U
*SIG $$$15415,C73.2.U
*SIG $$$15415,U8.6.S
*SIG $$$15416,R130.2.U
*SIG $$$15416,U8.7.S
*SIG $$$15416,R127.2.U
*SIG $$$15417,R127.1.U
*SIG $$$15417,Q18.B.U
*SIG $$$15417,R128.2.U
*SIG $$$15417,D21.K.U
*SIG $$$15418,R129.1.U
*SIG $$$15418,R130.1.U
*SIG $$$15418,D26.A.U
*SIG $$$15419,Q18.C.U
*SIG $$$15419,J13.2.U
*SIG $$$15419,D26.K.U
